Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
24098-15982,SG,Reggie,Reggie Hearn,Hearn,1.5,2,3500,DET@UTA,DET,UTA,,
24098-23156,PF,Georges,Georges Niang,Niang,2.899999936,3,3500,DET@UTA,UTA,DET,,
24098-16506,PG,Dwight,Dwight Buycks,Buycks,13.82916641,24,3500,DET@UTA,DET,UTA,GTD,Ankle
24098-41083,PF,Luke,Luke Kornet,Kornet,11.46249962,8,3500,DAL@NY,NY,DAL,,
24098-23676,SG,Damyean,Damyean Dotson,Dotson,5.524242517,33,3500,DAL@NY,NY,DAL,,
24098-41597,SF,Johnathan,Johnathan Motley,Motley,6.224999905,4,3500,DAL@NY,DAL,NY,,
24098-9862,PF,Amir,Amir Johnson,Johnson,14.73898264,59,3500,IND@PHI,PHI,IND,,
24098-17542,C,Alan,Alan Williams,Williams,18.52978775,47,3500,CLE@PHO,PHO,CLE,GTD,Knee
24098-12423,C,Omer,Omer Asik,Asik,4.957142966,14,3500,LAC@CHI,CHI,LAC,,
24098-12424,C,Timofey,Timofey Mozgov,Mozgov,8.799999782,28,3500,TOR@BKN,BKN,TOR,,
24098-9874,PF,Kevin,Kevin Love,Love,33.32916768,48,3500,CLE@PHO,CLE,PHO,O,Hand
24098-66196,SG,PJ,PJ Dozier,Dozier,1.100000024,2,3500,OKC@ATL,OKC,ATL,,
24098-63126,SF,Cedi,Cedi Osman,Osman,7.335185298,54,3500,CLE@PHO,CLE,PHO,O,Hip
